url,published,content,lang,source_type,extra_source_attributes.world_data.country_code
http://twitter.com/krishnanvp123/status/1653809184373379072,03-05-2023 13:10,@GoFirstairways U have cancelled the flight due to internal operational issues.When will the full refund be credited? @GoibiboSupport https://t.co/mBXvz3YfhE,en,"SOCIALMEDIA,SOCIALMEDIA_TWITTER",in
http://twitter.com/iasifofficial/status/1611666072310251520,07-01-2023 05:08,@GoibiboSupport No updates so far,en,"SOCIALMEDIA,SOCIALMEDIA_TWITTER",in
http://twitter.com/vishkukki/status/1557328120331481088,10-08-2022 07:28,@goibibo @goibibo #RakhiKaFullVasool Tagging my siblings @yashgandhi66 @banpreet_k @cuteushakumari @vinodsapra76 https://t.co/AOrMes3no3,en,"SOCIALMEDIA,SOCIALMEDIA_TWITTER",in
http://twitter.com/BhaskarSV2/status/1611635148990328832,07-01-2023 03:05,"@GoibiboSupport And one and half month and no one cared to see to know if it’s not services location, they blamed on local vendors. And what’s frustrating is they lied bluntly because that’s the location I travel using Meru and other cabs every time I travel. Supervisor just showed sympathy",en,"SOCIALMEDIA,SOCIALMEDIA_TWITTER",uk
http://twitter.com/__sunnyme/status/1573009052669394944,22-09-2022 13:59,@PoddarVaishali @bookingcom @goibibo I was in exactly the same situation. At 2 AM in scary road of Delhi. Finally had to book new hotel directly. Oyo do this most of the time. Use GoIbibo. You will surely get some option.,en,"SOCIALMEDIA,SOCIALMEDIA_TWITTER",us
http://twitter.com/KunNga1418/status/1569365837827690496,12-09-2022 12:42,⁦@goibibo⁩ made this payment to you for a flight havent got any confirmation from your side.please confirm https://t.co/Ciq9T95rjT,en,"SOCIALMEDIA,SOCIALMEDIA_TWITTER",us
http://twitter.com/sandesh0795/status/1552308760663805953,27-07-2022 11:03,@goibibo @GoibiboSupport do you care to explain why are you promoting people to have extra marital affairs through such ads ? @MumbaiPolice please look into this https://t.co/WfFxLaBM6K,en,"SOCIALMEDIA,SOCIALMEDIA_TWITTER",in
http://twitter.com/mundraghav/status/1538465276630446080,19-06-2022 06:14,@goibibo We booked 3 rooms in Thailand Novotel but got only 2. Please help ASAP. WE ARE STUCK.,en,"SOCIALMEDIA,SOCIALMEDIA_TWITTER",in
http://twitter.com/jayanthswaroop/status/1646087221588672514,12-04-2023 05:45,"Hello @GoibiboSupport @goibibo I have booked my flight ticket from VTZ TO HYD, money got debited, but did not get any confirmation or booking ID, I am not able reach the customer service as well. Kindly look into and resolve the issue ASAP and you can reach out to me on my DM.",en,"SOCIALMEDIA,SOCIALMEDIA_TWITTER",us
http://twitter.com/Sunil81058955/status/1653446413341315072,02-05-2023 13:08,"#goibibo #goibibocustomersupport I have booked my ticket tonight from Amritsar to Bikaner, the money deducted from my account but ticket not confirmed. Why are you making foolish to the common men. https://t.co/YiQK2wDF7l",en,"SOCIALMEDIA,SOCIALMEDIA_TWITTER",us
http://twitter.com/R0yalisms/status/1548647372779044865,17-07-2022 08:34,Bus operator claims to have refunded the amount. Extremely unsatisfactory support! @goibibo Could you please help me with refund?,en,"SOCIALMEDIA,SOCIALMEDIA_TWITTER",in
http://twitter.com/pratik19nov/status/1563410330914783232,27-08-2022 02:17,@GoibiboSupport Thanks a lot @GoibiboSupport. You have restored my faith in your services and will remain my favourite booking platform 🙂,en,"SOCIALMEDIA,SOCIALMEDIA_TWITTER",in
http://twitter.com/Shrijya1/status/1566642323156377600,05-09-2022 00:20,"@Ankushc21374035 @goibibo They are one of the worst in India when it come to refund, you can do a google search about them. Pls don't wait and initiate immediate legal action against them with the help of @getmyrefundin I am sure they will help you get your money back from these frauds...",en,"SOCIALMEDIA,SOCIALMEDIA_TWITTER",us
http://twitter.com/khanzaid1000/status/1654445216181436417,05-05-2023 07:17,"@GoibiboSupport @divya , i got the refund. Thank you for all your help",en,"SOCIALMEDIA,SOCIALMEDIA_TWITTER",us
http://twitter.com/RittickGiri_/status/1531281951365406720,30-05-2022 10:30,Anyone wants Goibibo Hotel booking Voucher worth of 4000? https://t.co/ACAoZoeHLT,en,"SOCIALMEDIA,SOCIALMEDIA_TWITTER",in
http://twitter.com/NobodyFROMindia/status/1555932815090667521,06-08-2022 11:04,"@GoibiboSupport I wish,i would have understood that sooner,that your brand name is of no value to me as a customer.",en,"SOCIALMEDIA,SOCIALMEDIA_TWITTER",in
http://twitter.com/AnubhutiGupta96/status/1572172501660336130,20-09-2022 06:35,@goibibo @GoibiboSupport it's really disappointing that the flight carrier has cancelled the ticket and you have just refunded me half of the amount that to for regular customer. I will definitely not use Goibbo next time as it was not my cancellation.,en,"SOCIALMEDIA,SOCIALMEDIA_TWITTER",us
http://twitter.com/Gopal9386/status/1596792710043963393,27-11-2022 04:07,@GoibiboSupport @goibibo @ConsumerReports @flyspicejet i have not got the refund of my cancelled flight ticket. Its more than 20 days . Airline spicejet have initiated but refund got stuck with goibibo. Trying to connect to goibibo customer care but not getting the resolution.,en,"SOCIALMEDIA,SOCIALMEDIA_TWITTER",us
http://twitter.com/ARandom_guy_/status/1556204339202469888,07-08-2022 05:03,@GoibiboSupport Okayy so according to your guidelines you should have informed us instead when we checked with the property they told us that booking is cancelled otherwise goibibo was saying booking is confirmed. What if we would have reached the property. #fraud,en,"SOCIALMEDIA,SOCIALMEDIA_TWITTER",gn
http://twitter.com/goibibo/status/1530948333912707072,29-05-2022 12:25,"@Earthhpics_ Hey striker, your superb match performance has landed you in the Finals of Goibibo Full Vasool League! 😉 You are now very close to winning the Golden Cup 🏆 - a FREE STAY! If you're one of the lucky ones to win; you'll get a DM from us within the next 48 hours.",en,"SOCIALMEDIA,SOCIALMEDIA_TWITTER",in
http://twitter.com/ManishK11544192/status/1583983908768870400,22-10-2022 20:49,@Raj__akash @goibibo @DGCAIndia Forget bro when I booked hotel they confirmed my booking and at hotel denied my checkin told me that sorry for thath and we shift you to another property and they shift after they sad that this is from side and i reund your all money but now I 2 month gone but we did not get back,en,"SOCIALMEDIA,SOCIALMEDIA_TWITTER",us
http://twitter.com/foreverlifebond/status/1655136973131223041,07-05-2023 05:06,@GoFirstairways My flight was on 12th may which is cancelled now.. I had booked through @goibibo... Have raised request... But still didn't get any response... Kindly tell me when I get my refund?,en,"SOCIALMEDIA,SOCIALMEDIA_TWITTER",in
http://twitter.com/Payal38926379/status/1600176109521231878,06-12-2022 12:11,"@desire_lifes @GoibiboSupport @SanjayBhasin5 @TeamGoibibo @consumerforum_ They don't have proper customer service they are just robbing people and keeping their hard earned money for a long time but never returning it back. Take legal action against them, @getmyrefundin can help you with the legal action and to get your money back from these frauds...",en,"SOCIALMEDIA,SOCIALMEDIA_TWITTER",us
http://twitter.com/Sandyyy_99/status/1645454786408620032,10-04-2023 11:52,"@goibibo yr again you are doing same Behaviour after Booking, your customer support is so pathetic.",en,"SOCIALMEDIA,SOCIALMEDIA_TWITTER",us
http://twitter.com/Tiny_Dhillon/status/1630545083656450048,28-02-2023 07:26,@mananbhattnavy @GoibiboSupport @goibibo @GoibiboSupport @goibibo This is surprisingly hilarious 😂 Request some human intervenes in your AI based messages,en,"SOCIALMEDIA,SOCIALMEDIA_TWITTER",in
http://twitter.com/RaviPat37897922/status/1554440950201860097,02-08-2022 08:16,@Deepesh_jain09 @goibibo @GoibiboSupport @ConsumerReports Apka bhi paisa gaya ab nai denge ae log,hi,"SOCIALMEDIA,SOCIALMEDIA_TWITTER",in
